"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Увеличение счетчика ингредиента при добавлении в заказ","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","3155","Увеличение счетчика 'Выполнено за сегодня' при создании заказа","tests","2026-09-25","passed","2026-09-25","TestFeed","test_feed","",""
"","187","Закрытие всплывающего окна кликом по крестику","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","37","Увеличение счетчика ингредиента при добавлении в заказ","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","5357","Увеличение счетчика 'Выполнено за сегодня' при создании заказа","tests","2026-09-25","passed","2026-09-25","TestFeed","test_feed","",""
"","119","Переход по клику на 'Лента заказов'","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","70","Появление всплывающего окна с деталями при клике на ингредиент","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","111","Закрытие всплывающего окна кликом по крестику","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","110","Появление всплывающего окна с деталями при клике на ингредиент","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","118","Переход по клику на 'Конструктор'","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","3060","Увеличение счетчика 'Выполнено за все время' при создании заказа","tests","2026-09-25","passed","2026-09-25","TestFeed","test_feed","",""
"","13146","Появление номера заказа в разделе 'В работе' после оформления","tests","2026-09-25","passed","2026-09-25","TestFeed","test_feed","",""
"","5322","Увеличение счетчика 'Выполнено за все время' при создании заказа","tests","2026-09-25","passed","2026-09-25","TestFeed","test_feed","",""
"","172","Переход по клику на 'Конструктор'","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","60","Переход по клику на 'Лента заказов'","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","10802","Появление номера заказа в разделе 'В работе' после оформления","tests","2026-09-25","passed","2026-09-25","TestFeed","test_feed","",""
